site_id,year,TOC,bucket_size,clay,RPM,HUM,IOM,depth
OD01_1,2020,34.046937089029626,84.51523619999998,28,2.904009703,16.9035585,13.75144768,30
OD01_2,2020,36.08716817117681,86.2629407625,25.5,3.388012673,19.35359235,13.26280594,30
OD01_3,2020,35.79767099233109,92.04437612999999,32,2.904009703,17.31168104,14.07361984,30
OD01_4,2020,34.44868270797463,78.37042607999997,22,2.904009703,16.0580034,14.22229671,30
OD01_5,2020,43.76303736348486,89.94959233875,23.5,4.356021051,24.44879261,13.76144409,30
OD01_6,2020,28.000157773946977,73.37095124999999,20,1.936016895,10.4683276,14.00381279,30
OD01_7,2020,43.76303736348486,88.36987346999997,26,4.356021051,24.98372483,14.22738838,30
OD01_8,2020,49.11062020631646,87.693307005,27,4.84004168,27.97287661,14.20005226,30
OD01_9,2020,44.40528171505932,80.37644386125001,25.5,4.356021051,24.88322349,14.84091759,30
OD01_10,2020,46.05421358905697,75.76510040249998,20.5,4.84004168,26.3252529,13.32855797,30
OD02_1,2020,41.31687642879244,87.15534374999999,30,3.872023334,22.82833606,13.89453316,30
OD02_2,2020,42.37689227819334,92.44808362499998,32.5,3.872023334,23.14058697,14.54860687,30
OD02_3,2020,41.46163407966429,95.50659625499998,36.5,3.872023334,23.5406384,13.53017616,30
OD02_4,2020,41.490108626031535,82.722244395,27,3.388012673,19.58090546,17.41879272,30
OD02_5,2020,38.83287810593438,82.722244395,27,3.872023334,22.37822853,13.17089081,30
OD02_6,2020,40.091937067479215,91.16597999999998,30,3.388012673,19.97474866,16.25271797,30
OD02_7,2020,37.69749031638281,82.83553968000001,28,2.904009703,16.9035585,15.96117496,30
OD02_8,2020,44.30919762504449,84.9451485,25,3.872023334,22.02628551,16.92565918,30
OD03_1,2020,17.47287378893683,133.62113856,18,0.483996054,2.550936148,14.12109566,30
OD03_2,2020,31.915509482323447,87.44713209749997,28.5,2.4200093,14.13390714,14.03835297,30
OD03_3,2020,30.707592657607574,88.40303556375,30.5,2.4200093,14.30939019,14.29462433,30
OD03_4,2020,30.799211659066387,86.87932031999999,27,2.4200093,13.98636307,12.55918503,30
OD03_5,2020,33.44230755485094,83.09488485,24,2.904009703,16.37490348,12.93900299,30
OD03_6,2020,30.02888548461161,92.84545837500002,35,2.4200093,14.62721732,13.96800613,30
OD03_7,2020,37.973424982415864,83.09488485,24,3.872023334,21.83326502,12.70399284,30
OD03_8,2020,36.414441561936215,92.84668522499999,33,2.904009703,17.39762752,15.5592308,30
OD03_9,2020,31.603933173330525,92.82286271999999,36,2.4200093,14.68532296,12.49235058,30
OD03_10,2020,36.5449753362619,90.43021019999998,31,2.904009703,17.21965766,16.15867043,30
OD03_11,2020,33.13994058343248,91.58884987875,30.5,2.904009703,17.17125727,12.51610565,30
OD03_12,2020,32.61417598010126,90.88567846499998,34.5,2.4200093,14.59659245,15.62571526,30
OD04_1,2020,32.82430364482461,94.65176286375,38.5,2.4200093,14.81370665,13.77887535,30
OD04_2,2020,36.02886671096048,86.63058703874998,28.5,3.388012673,19.78746713,13.46272087,30
OD04_3,2020,36.14486995353502,88.05856308,32,2.904009703,17.31168104,14.34389496,30
OD04_4,2020,35.437467007279814,94.01336237999999,34.5,2.4200093,14.59659245,16.65972137,30
OD04_5,2020,39.43030947325515,102.4894125,35,2.904009703,17.55264958,17.05084229,30
OD04_6,2020,33.15055752294353,96.88016878875001,39.5,2.4200093,14.85892867,15.15273857,30
OD04_7,2020,31.641595050992375,102.46748756999999,37,1.936016895,11.79162888,16.98242569,30
OD04_8,2020,38.52334432853231,100.63069773375,38.5,3.388012673,20.73918631,14.01151276,30
OD04_9,2020,38.246276385395966,93.85251533624998,29.5,3.388012673,19.91437343,14.46907234,30
OD04_10,2020,34.84155047831349,98.16061587,34,2.904009703,17.47783984,15.37573814,30
OD05_1,2020,42.04407621748038,86.52872399999998,27.5,3.872023334,22.45947079,14.85778809,30
OD05_2,2020,43.27260633348132,90.88893107625,33.5,3.872023334,23.25130358,16.88899612,30
OD05_3,2020,40.740606619724375,98.89552295999998,34,3.388012673,20.3908232,15.24069214,30
OD05_4,2020,35.336928385021146,80.1060036,22,2.904009703,16.0580034,16.79823685,30
OD05_5,2020,35.164356250042886,101.689525695,39,2.904009703,17.8040616,14.3043251,30
OD05_6,2020,34.96155444771197,97.338539685,31,2.904009703,17.21965766,15.82662582,30
OD05_7,2020,39.073541987498686,101.06963175000001,35,3.388012673,20.47810128,15.84544659,30
OD05_8,2020,49.86619526826554,104.401704,30,4.84004168,28.53551286,16.05664063,30
