"c_input","DPM","RPM","BIO","HUM","IOM","SOC","ID","error"
6,0.144075910386571,2.90400970307857,0.435899055189978,16.903558498266,13.7514476776123,34.1389908445335,"OD01_1",0.0084738939023622
6.8,0.163286197881798,3.29121454441006,0.484821288212208,18.8006509397013,13.2628059387207,36.0027789089261,"OD01_2",0.00712154758322388
6.3,0.151279682517901,3.04921131677335,0.468743208851861,18.1772799873358,14.0736198425293,35.9201340380082,"OD01_3",0.0149971975565239
6.2,0.148878335657707,3.00081416496637,0.427901352804432,16.5933010998826,14.2222967147827,34.3931916680939,"OD01_4",0.00307925550705007
9.1,0.218515264623259,4.40443008759072,0.637480864914386,24.7204995498902,13.7614440917969,43.7423698588154,"OD01_5",0.000427145749260737
4.4,0.105655653787057,2.12960823553538,0.296947619502952,11.5150988297643,14.003812789917,28.0511231285067,"OD01_6",0.00259746736539779
8.8,0.211311398525006,4.25922098401276,0.629949852351253,24.4285315655302,14.227388381958,43.7564021823772,"OD01_7",4.40256283309964e-05
10.3,0.247330673863411,4.98523765490984,0.742988063299945,28.8120341759216,14.2000522613525,48.9876428293473,"OD01_8",0.0151234352462185
8.8,0.211311398525006,4.25922098401276,0.62741614082312,24.3302635832195,14.8409175872803,44.2691296938606,"OD01_9",0.0185373728764905
10.2,0.244929368043588,4.93683811268545,0.692443236397386,26.8517369475912,13.3285579681396,46.0545056328572,"OD01_10",8.52895812813527e-08
8,0.192101325763799,3.87202333361006,0.588682640002312,22.8283360638379,13.8945331573486,41.3756765205627,"OD02_1",0.00345745079218667
8,0.192101325763799,3.87202333361006,0.596733605478244,23.1405869662632,14.5486068725586,42.3500521036739,"OD02_2",0.000720394968231838
7.9,0.189700122792061,3.82362029552001,0.59945981831845,23.2463788349056,13.5301761627197,41.3893352342558,"OD02_3",0.00522712304739558
7.1,0.170489782494562,3.43641280465824,0.512154836438427,19.8606323630798,17.4187927246094,41.3984825112804,"OD02_4",0.00839534490439362
7.6,0.182496411206279,3.67841955055026,0.548222939016965,21.2593099992051,13.1708908081055,38.839339708084,"OD02_5",4.17523023404415e-05
6.9,0.165687302502875,3.33961242409255,0.507737565978813,19.6894015598612,16.2527179718018,39.9551568242372,"OD02_6",0.0187088349413467
6.4,0.15368095703557,3.09761066178595,0.464959042445057,18.0304649616093,15.9611749649048,37.7078905877807,"OD02_7",0.000108165645149356
8.2,0.196903910875787,3.96882071506955,0.582202403018255,22.5769250342604,16.9256591796875,44.2505112429115,"OD02_8",0.00344409144785432
1.1,0.0264138976201615,0.532396071040479,0.0723610573855182,2.80603154831484,14.1210956573486,17.5582982317096,"OD03_1",0.00729733542304299
5.2,0.124865862353329,2.5168112606582,0.379055995775084,14.6992753634328,14.0383529663086,31.758361448528,"OD03_2",0.0246955045257729
