Longitude,Latitude,ID,Sample.Date,ROC,HOC,POC,SOC,Sand,Clay,FC
150.0764236,-29.24934028,OD01_1,17/05/2020,13.751447677612305,22.37940877079381,3.1777257919311523,34.046937089029626,65,28,0.28159402869999994
150.0997569,-29.25135417,OD01_2,17/05/2020,13.262805938720703,22.17073382427059,2.8860011100769043,36.08716817117681,65,25.5,0.28751060429999997
150.0818403,-29.25232639,OD01_3,17/05/2020,14.073619842529297,22.1360077510906,3.1040916442871094,35.79767099233109,58.5,32,0.3044237654
150.0673958,-29.25475694,OD01_4,17/05/2020,14.222296714782715,22.929646229939564,3.208301067352295,34.44868270797463,71,22,0.2587459821
150.0917708,-29.25496528,OD01_5,17/05/2020,13.761444091796875,23.519415338488297,3.0100114345550537,43.76303736348486,63.5,23.5,0.29686253669999996
150.0720486,-29.25565972,OD01_6,17/05/2020,14.003812789916992,21.51927863663118,3.1511669158935547,28.000157773946977,74.5,20,0.24456015499999995
150.0608681,-29.25989583,OD01_7,17/05/2020,14.227388381958008,22.857348762693388,3.3096394538879395,43.76303736348486,63.5,26,0.29416551339999997
150.0878819,-29.26079861,OD01_8,17/05/2020,14.200052261352539,23.05678304679641,3.1712732315063477,49.11062020631646,63.5,27,0.2912771286
150.0769097,-29.26989583,OD01_9,17/05/2020,14.840917587280273,22.46124211879013,2.8509252071380615,44.40528171505932,68.5,25.5,0.26576410894999997
150.0812153,-29.27072917,OD01_10,17/05/2020,13.328557968139648,20.199548157057954,2.9215400218963623,46.05421358905697,73,20.5,0.25251311239999996
150.0289236,-29.24267361,OD02_1,17/05/2020,13.894533157348633,20.837993325628155,2.896306037902832,41.31687642879244,62.5,30,0.290157287
150.0515625,-29.24517361,OD02_2,17/05/2020,14.548606872558594,21.939680878133302,3.080127239227295,42.37689227819334,58,32.5,0.30767428369999994
150.0445486,-29.25211806,OD02_3,17/05/2020,13.530176162719727,21.61589424247994,3.177950382232666,41.46163407966429,54,36.5,0.3178833979
150.0292014,-29.25357639,OD02_4,17/05/2020,17.418792724609375,24.913678486166738,4.079410552978516,41.490108626031535,66.5,27,0.26975626215
150.0349653,-29.25447917,OD02_5,17/05/2020,13.170890808105469,20.971066855008992,3.0918166637420654,38.83287810593438,66.5,27,0.27554465399999994
150.0205208,-29.25552083,OD02_6,17/05/2020,16.252717971801758,22.59300040343326,3.546261787414551,40.091937067479215,60,30,0.30341003199999994
150.0230903,-29.25857639,OD02_7,17/05/2020,15.961174964904785,22.863341904727342,3.518146276473999,37.69749031638281,66,28,0.2747442886
150.0381597,-29.26010417,OD02_8,17/05/2020,16.9256591796875,26.226723227635325,3.5056185722351074,44.30919762504449,66,25,0.28185270939999996
150.0582292,-29.23260417,OD03_1,17/05/2020,14.121095657348633,20.495270349569886,2.9739692211151123,17.47287378893683,27,18,0.1598335208
150.0410764,-29.23434028,OD03_2,17/05/2020,14.038352966308594,20.905276307182177,2.7681002616882324,31.915509482323447,63,28.5,0.2888041201
150.0222569,-29.23552083,OD03_3,17/05/2020,14.294624328613281,22.00094486941193,2.932749032974243,30.707592657607574,61.5,30.5,0.28685240489999997
150.0564931,-29.23586806,OD03_4,17/05/2020,12.559185028076172,20.45911490959552,2.7834692001342773,30.799211659066387,64,27,0.2844548391999999
150.0896875,-29.23614583,OD03_5,17/05/2020,12.939002990722656,21.524654222466165,2.7355809211730957,33.44230755485094,67.5,24,0.27556510524999994
150.0629514,-29.23815972,OD03_6,17/05/2020,13.968006134033203,20.667355066571858,2.8882672786712646,30.02888548461161,56.5,35,0.30530187259999997
150.0424653,-29.23961806,OD03_7,17/05/2020,12.70399284362793,20.72712357297226,2.8470239639282227,37.973424982415864,67.5,24,0.2734770814
150.0685764,-29.24038194,OD03_8,17/05/2020,15.55923080444336,22.4818438830884,3.3122026920318604,36.414441561936215,57.5,33,0.30627739119999997
150.0471181,-29.24197917,OD03_9,17/05/2020,12.492350578308105,21.222586455501965,2.8512871265411377,31.603933173330525,56,36,0.3078957664
150.0923264,-29.2421875,OD03_10,17/05/2020,16.15867042541504,22.975342969015244,3.4264979362487793,36.5449753362619,60,31,0.296821858
150.0599653,-29.24225694,OD03_11,17/05/2020,12.516105651855469,20.966937842612282,2.80397891998291,33.13994058343248,59.5,30.5,0.29582560174999994
